,Lon,Lat,grid_coords
435,-91.875,0.875,"(3, 6)"
436,-91.875,1.125,"(4, 6)"
437,-91.875,1.375,"(5, 6)"
438,-91.875,1.625,"(6, 6)"
439,-91.875,1.875,"(7, 6)"
440,-91.875,2.125,"(8, 6)"
441,-91.875,2.375,"(9, 6)"
442,-91.875,2.625,"(10, 6)"
443,-91.875,2.875,"(11, 6)"
444,-91.875,3.125,"(12, 6)"
445,-91.875,3.375,"(13, 6)"
446,-91.875,3.625,"(14, 6)"
447,-91.875,3.875,"(15, 6)"
448,-91.875,4.125,"(16, 6)"
449,-91.875,4.375,"(17, 6)"
450,-91.875,4.625,"(18, 6)"
451,-91.875,4.875,"(19, 6)"
452,-91.875,5.125,"(20, 6)"
453,-91.875,5.375,"(21, 6)"
454,-91.875,5.625,"(22, 6)"
455,-91.875,5.875,"(23, 6)"
456,-91.875,6.125,"(24, 6)"
457,-91.875,6.375,"(25, 6)"
458,-91.875,6.625,"(26, 6)"
459,-91.875,6.875,"(27, 6)"
460,-91.875,7.125,"(28, 6)"
461,-91.875,7.375,"(29, 6)"
462,-91.875,7.625,"(30, 6)"
463,-91.875,7.875,"(31, 6)"
464,-91.875,8.125,"(32, 6)"
465,-91.875,8.375,"(33, 6)"
466,-91.875,8.625,"(34, 6)"
467,-91.875,8.875,"(35, 6)"
468,-91.875,9.125,"(36, 6)"
469,-91.875,9.375,"(37, 6)"
470,-91.875,9.625,"(38, 6)"
471,-91.875,9.875,"(39, 6)"
472,-91.875,10.125,"(40, 6)"
473,-91.875,10.375,"(41, 6)"
474,-91.875,10.625,"(42, 6)"
475,-91.875,10.875,"(43, 6)"
476,-91.875,11.125,"(44, 6)"
477,-91.875,11.375,"(45, 6)"
478,-91.875,11.625,"(46, 6)"
479,-91.875,11.875,"(47, 6)"
480,-91.875,12.125,"(48, 6)"
481,-91.875,12.375,"(49, 6)"
482,-91.875,12.625,"(50, 6)"
483,-91.875,12.875,"(51, 6)"
484,-91.875,13.125,"(52, 6)"
485,-91.875,13.375,"(53, 6)"
486,-91.875,13.625,"(54, 6)"
487,-91.875,13.875,"(55, 6)"
488,-91.875,14.125,"(56, 6)"
489,-91.875,14.375,"(57, 6)"
490,-91.875,14.625,"(58, 6)"
491,-91.875,14.875,"(59, 6)"
492,-91.875,15.125,"(60, 6)"
493,-91.875,15.375,"(61, 6)"
494,-91.875,15.625,"(62, 6)"
495,-91.875,15.875,"(63, 6)"
496,-91.875,16.125,"(64, 6)"
497,-91.875,16.375,"(65, 6)"
498,-91.875,16.625,"(66, 6)"
499,-91.875,16.875,"(67, 6)"
500,-91.875,17.125,"(68, 6)"
501,-91.875,17.375,"(69, 6)"
502,-91.875,17.625,"(70, 6)"
503,-91.875,17.875,"(71, 6)"
504,-91.625,0.125,"(0, 7)"
505,-91.625,0.375,"(1, 7)"
506,-91.625,0.625,"(2, 7)"
507,-91.625,0.875,"(3, 7)"
508,-91.625,1.125,"(4, 7)"
509,-91.625,1.375,"(5, 7)"
510,-91.625,1.625,"(6, 7)"
511,-91.625,1.875,"(7, 7)"
512,-91.625,2.125,"(8, 7)"
513,-91.625,2.375,"(9, 7)"
514,-91.625,2.625,"(10, 7)"
515,-91.625,2.875,"(11, 7)"
516,-91.625,3.125,"(12, 7)"
517,-91.625,3.375,"(13, 7)"
518,-91.625,3.625,"(14, 7)"
519,-91.625,3.875,"(15, 7)"
520,-91.625,4.125,"(16, 7)"
521,-91.625,4.375,"(17, 7)"
522,-91.625,4.625,"(18, 7)"
523,-91.625,4.875,"(19, 7)"
524,-91.625,5.125,"(20, 7)"
525,-91.625,5.375,"(21, 7)"
526,-91.625,5.625,"(22, 7)"
527,-91.625,5.875,"(23, 7)"
528,-91.625,6.125,"(24, 7)"
529,-91.625,6.375,"(25, 7)"
530,-91.625,6.625,"(26, 7)"
531,-91.625,6.875,"(27, 7)"
532,-91.625,7.125,"(28, 7)"
533,-91.625,7.375,"(29, 7)"
534,-91.625,7.625,"(30, 7)"
535,-91.625,7.875,"(31, 7)"
536,-91.625,8.125,"(32, 7)"
537,-91.625,8.375,"(33, 7)"
538,-91.625,8.625,"(34, 7)"
539,-91.625,8.875,"(35, 7)"
540,-91.625,9.125,"(36, 7)"
541,-91.625,9.375,"(37, 7)"
542,-91.625,9.625,"(38, 7)"
543,-91.625,9.875,"(39, 7)"
544,-91.625,10.125,"(40, 7)"
545,-91.625,10.375,"(41, 7)"
546,-91.625,10.625,"(42, 7)"
547,-91.625,10.875,"(43, 7)"
548,-91.625,11.125,"(44, 7)"
549,-91.625,11.375,"(45, 7)"
550,-91.625,11.625,"(46, 7)"
551,-91.625,11.875,"(47, 7)"
552,-91.625,12.125,"(48, 7)"
553,-91.625,12.375,"(49, 7)"
554,-91.625,12.625,"(50, 7)"
