idx,Longitude,Latitude
5,-82.125,12.375
5,-82.375,8.125
5,-81.875,15.125
5,-82.125,9.625
5,-81.875,7.375
5,-82.125,1.125
5,-81.125,17.125
5,-81.375,1.625
5,-81.125,0.125
5,-80.875,2.375
5,-80.375,9.875
5,-80.375,15.125
5,-80.375,3.625
5,-79.875,12.125
5,-80.125,1.375
5,-80.125,2.125
5,-79.625,16.875
5,-79.625,9.875
5,-79.625,11.125
5,-79.625,6.375
5,-79.875,2.875
5,-79.375,13.125
5,-79.375,15.125
5,-79.875,6.375
5,-79.125,11.875
5,-79.375,7.625
5,-79.375,7.375
5,-79.625,1.625
5,-78.875,16.375
5,-78.875,10.875
5,-78.875,10.375
5,-78.375,14.375
5,-78.125,16.125
5,-78.375,10.625
5,-77.625,17.375
5,-77.875,14.625
5,-76.875,16.375
5,-76.875,17.375
5,-77.625,4.375
5,-76.625,14.625
5,-77.125,8.875
5,-76.625,9.625
5,-76.375,16.125
5,-76.375,17.375
5,-76.125,15.375
5,-76.125,13.875
5,-75.875,11.875
5,-76.375,9.125
5,-76.125,9.625
5,-75.625,14.125
5,-75.625,15.625
5,-75.625,11.625
5,-92.875,12.875
5,-93.125,10.875
5,-93.375,7.875
5,-92.625,12.375
5,-92.875,9.125
5,-92.625,10.625
5,-92.875,7.625
5,-92.125,12.625
5,-91.375,9.375
5,-91.625,13.625
5,-91.375,11.875
5,-91.375,12.625
5,-91.375,9.125
5,-90.625,13.375
5,-90.375,11.375
5,-90.125,13.375
5,-90.125,10.875
5,-89.875,12.875
5,-90.125,0.375
5,-89.625,8.625
5,-89.625,7.625
5,-89.125,10.375
5,-89.125,12.875
5,-89.375,4.875
5,-88.375,9.375
5,-88.875,7.125
5,-89.375,12.375
5,-88.375,9.625
5,-88.625,10.125
5,-87.875,17.125
5,-88.125,8.375
5,-88.375,7.375
5,-87.875,16.375
5,-88.125,9.625
5,-87.375,8.375
5,-87.125,16.125
5,-87.375,9.375
5,-86.625,17.625
5,-86.625,17.375
5,-86.125,16.125
5,-86.875,8.625
5,-86.125,16.125
5,-86.375,9.125
5,-86.375,17.875
5,-86.125,5.875
5,-85.875,10.125
5,-84.625,16.375
5,-84.875,8.625
5,-85.125,8.375
5,-85.625,5.875
5,-84.625,9.125
5,-85.125,16.125
