,geometry
742,POINT (-90.875 5.625)
743,POINT (-90.875 5.875)
744,POINT (-90.875 6.125)
745,POINT (-90.875 6.375)
746,POINT (-90.875 6.625)
747,POINT (-90.875 6.875)
748,POINT (-90.875 7.125)
749,POINT (-90.875 7.375)
750,POINT (-90.875 7.625)
751,POINT (-90.875 7.875)
752,POINT (-90.875 8.125)
753,POINT (-90.875 8.375)
754,POINT (-90.875 8.625)
755,POINT (-90.875 8.875)
756,POINT (-90.875 9.125)
757,POINT (-90.875 9.375)
758,POINT (-90.875 9.625)
759,POINT (-90.875 9.875)
760,POINT (-90.875 10.125)
761,POINT (-90.875 10.375)
762,POINT (-90.875 10.625)
763,POINT (-90.875 10.875)
764,POINT (-90.875 11.125)
765,POINT (-90.875 11.375)
766,POINT (-90.875 11.625)
767,POINT (-90.875 11.875)
768,POINT (-90.875 12.125)
769,POINT (-90.875 12.375)
770,POINT (-90.875 12.625)
771,POINT (-90.875 12.875)
772,POINT (-90.875 13.125)
773,POINT (-90.875 13.375)
774,POINT (-90.875 13.625)
775,POINT (-90.875 13.875)
776,POINT (-90.875 14.125)
777,POINT (-90.875 14.375)
778,POINT (-90.875 14.625)
779,POINT (-90.875 14.875)
780,POINT (-90.875 15.125)
781,POINT (-90.875 15.375)
782,POINT (-90.875 15.625)
783,POINT (-90.875 15.875)
784,POINT (-90.875 16.125)
785,POINT (-90.875 16.375)
786,POINT (-90.875 16.625)
787,POINT (-90.875 16.875)
788,POINT (-90.875 17.125)
789,POINT (-90.875 17.375)
790,POINT (-90.875 17.625)
791,POINT (-90.875 17.875)
792,POINT (-90.625 0.125)
793,POINT (-90.625 0.375)
794,POINT (-90.625 0.625)
795,POINT (-90.625 0.875)
796,POINT (-90.625 1.125)
797,POINT (-90.625 1.375)
798,POINT (-90.625 1.625)
799,POINT (-90.625 1.875)
800,POINT (-90.625 2.125)
801,POINT (-90.625 2.375)
802,POINT (-90.625 2.625)
803,POINT (-90.625 2.875)
804,POINT (-90.625 3.125)
805,POINT (-90.625 3.375)
806,POINT (-90.625 3.625)
807,POINT (-90.625 3.875)
808,POINT (-90.625 4.125)
809,POINT (-90.625 4.375)
810,POINT (-90.625 4.625)
811,POINT (-90.625 4.875)
812,POINT (-90.625 5.125)
813,POINT (-90.625 5.375)
814,POINT (-90.625 5.625)
815,POINT (-90.625 5.875)
816,POINT (-90.625 6.125)
817,POINT (-90.625 6.375)
818,POINT (-90.625 6.625)
819,POINT (-90.625 6.875)
820,POINT (-90.625 7.125)
821,POINT (-90.625 7.375)
822,POINT (-90.625 7.625)
823,POINT (-90.625 7.875)
824,POINT (-90.625 8.125)
825,POINT (-90.625 8.375)
826,POINT (-90.625 8.625)
827,POINT (-90.625 8.875)
828,POINT (-90.625 9.125)
829,POINT (-90.625 9.375)
830,POINT (-90.625 9.625)
831,POINT (-90.625 9.875)
832,POINT (-90.625 10.125)
833,POINT (-90.625 10.375)
834,POINT (-90.625 10.625)
835,POINT (-90.625 10.875)
836,POINT (-90.625 11.125)
837,POINT (-90.625 11.375)
838,POINT (-90.625 11.625)
839,POINT (-90.625 11.875)
840,POINT (-90.625 12.125)
841,POINT (-90.625 12.375)
842,POINT (-90.625 12.625)
843,POINT (-90.625 12.875)
844,POINT (-90.625 13.125)
845,POINT (-90.625 13.375)
846,POINT (-90.625 13.625)
847,POINT (-90.625 13.875)
848,POINT (-90.625 14.125)
849,POINT (-90.625 14.375)
850,POINT (-90.625 14.625)
851,POINT (-90.625 14.875)
852,POINT (-90.625 15.125)
853,POINT (-90.625 15.375)
854,POINT (-90.625 15.625)
855,POINT (-90.625 15.875)
856,POINT (-90.625 16.125)
857,POINT (-90.625 16.375)
858,POINT (-90.625 16.625)
859,POINT (-90.625 16.875)
860,POINT (-90.625 17.125)
861,POINT (-90.625 17.375)
862,POINT (-90.625 17.625)
863,POINT (-90.625 17.875)
864,POINT (-90.375 0.125)
865,POINT (-90.375 0.375)
866,POINT (-90.375 0.625)
867,POINT (-90.375 0.875)
868,POINT (-90.375 1.125)
869,POINT (-90.375 1.375)
870,POINT (-90.375 1.625)
871,POINT (-90.375 1.875)
872,POINT (-90.375 2.125)
